Periodicity,Year,Period,Estimate
Current dollar index number,2001,December,87.5
"3-month percent change, current dollars",2001,December,0.9
Current dollar index number,2001,September,86.8
"3-month percent change, current dollars",2001,September,0.9
Current dollar index number,2001,June,86.0
"3-month percent change, current dollars",2001,June,0.9
Current dollar index number,2001,March,85.2
"3-month percent change, current dollars",2001,March,0.9
Current dollar index number,2001,December,89.6
"3-month percent change, current dollars",2001,December,0.8
Current dollar index number,2001,September,88.9
"3-month percent change, current dollars",2001,September,0.9
Current dollar index number,2001,June,88.1
"3-month percent change, current dollars",2001,June,0.8
Current dollar index number,2001,March,87.4
"3-month percent change, current dollars",2001,March,1.0
Current dollar index number,2002,December,90.2
"3-month percent change, current dollars",2002,December,1.2
Current dollar index number,2002,September,89.1
"3-month percent change, current dollars",2002,September,0.8
Current dollar index number,2002,June,88.4
"3-month percent change, current dollars",2002,June,0.3
Current dollar index number,2002,March,88.1
"3-month percent change, current dollars",2002,March,0.7
Current dollar index number,2002,December,92.2
"3-month percent change, current dollars",2002,December,1.1
Current dollar index number,2002,September,91.2
"3-month percent change, current dollars",2002,September,0.7
Current dollar index number,2002,June,90.6
"3-month percent change, current dollars",2002,June,0.7
Current dollar index number,2002,March,90.0
"3-month percent change, current dollars",2002,March,0.4
Current dollar index number,2003,December,93.6
"3-month percent change, current dollars",2003,December,0.8
Current dollar index number,2003,September,92.9
"3-month percent change, current dollars",2003,September,0.9
Current dollar index number,2003,June,92.1
"3-month percent change, current dollars",2003,June,1.2
Current dollar index number,2003,March,91.0
"3-month percent change, current dollars",2003,March,0.9
Current dollar index number,2003,December,94.6
"3-month percent change, current dollars",2003,December,0.5
Current dollar index number,2003,September,94.1
"3-month percent change, current dollars",2003,September,0.9
Current dollar index number,2003,June,93.3
"3-month percent change, current dollars",2003,June,1.0
Current dollar index number,2003,March,92.4
"3-month percent change, current dollars",2003,March,0.2
Current dollar index number,2004,December,96.9
"3-month percent change, current dollars",2004,December,0.5
Current dollar index number,2004,September,96.4
"3-month percent change, current dollars",2004,September,1.2
Current dollar index number,2004,June,95.3
"3-month percent change, current dollars",2004,June,0.6
Current dollar index number,2004,March,94.7
"3-month percent change, current dollars",2004,March,1.2
Current dollar index number,2004,December,97.0
"3-month percent change, current dollars",2004,December,0.2
Current dollar index number,2004,September,96.8
"3-month percent change, current dollars",2004,September,1.0
