Month,Number
Jan 1968," 1,257 "
Feb 1968," 1,174 "
Mar 1968," 1,323 "
Apr 1968," 1,328 "
May 1968," 1,367 "
Jun 1968," 1,184 "
Jul 1968," 1,370 "
Aug 1968," 1,279 "
Sep 1968," 1,397 "
Oct 1968," 1,348 "
Nov 1968," 1,367 "
Dec 1968," 1,390 "
Jan 1969," 1,257 "
Feb 1969," 1,414 "
Mar 1969," 1,558 "
Apr 1969," 1,318 "
May 1969," 1,430 "
Jun 1969," 1,455 "
Jul 1969," 1,432 "
Aug 1969," 1,393 "
Sep 1969," 1,367 "
Oct 1969," 1,406 "
Nov 1969," 1,404 "
Dec 1969," 1,402 "
Jan 1970," 1,434 "
Feb 1970," 1,430 "
Mar 1970," 1,317 "
Apr 1970," 1,354 "
May 1970," 1,334 "
Jun 1970," 1,431 "
Jul 1970," 1,384 "
Aug 1970," 1,609 "
Sep 1970," 1,383 "
Oct 1970," 1,437 "
Nov 1970," 1,457 "
Dec 1970," 1,437 "
Jan 1971," 1,471 "
Feb 1971," 1,448 "
Mar 1971," 1,489 "
Apr 1971," 1,709 "
May 1971," 1,637 "
Jun 1971," 1,637 "
Jul 1971," 1,699 "
Aug 1971," 1,896 "
Sep 1971," 1,804 "
Oct 1971," 1,815 "
Nov 1971," 1,844 "
Dec 1971," 1,895 "
Jan 1972," 1,942 "
Feb 1972," 2,061 "
Mar 1972," 1,981 "
Apr 1972," 1,970 "
May 1972," 1,896 "
Jun 1972," 1,936 "
Jul 1972," 1,930 "
Aug 1972," 2,102 "
Sep 1972," 2,053 "
Oct 1972," 1,995 "
Nov 1972," 1,985 "
Dec 1972," 2,121 "
Jan 1973," 2,162 "
Feb 1973," 2,124 "
Mar 1973," 2,196 "
Apr 1973," 2,195 "
May 1973," 2,299 "
Jun 1973," 2,258 "
Jul 1973," 2,066 "
Aug 1973," 2,056 "
Sep 1973," 2,061 "
Oct 1973," 2,052 "
Nov 1973," 1,925 "
Dec 1973," 1,869 "
Jan 1974," 1,932 "
Feb 1974," 1,938 "
Mar 1974," 1,806 "
Apr 1974," 1,830 "
May 1974," 1,715 "
Jun 1974," 1,897 "
Jul 1974," 1,695 "
Aug 1974," 1,634 "
Sep 1974," 1,651 "
Oct 1974," 1,630 "
Nov 1974," 1,590 "
Dec 1974," 1,540 "
Jan 1975," 1,588 "
Feb 1975," 1,346 "
Mar 1975," 1,293 "
Apr 1975," 1,278 "
May 1975," 1,349 "
Jun 1975," 1,234 "
Jul 1975," 1,276 "
Aug 1975," 1,290 "
Sep 1975," 1,333 "
Oct 1975," 1,134 "
Nov 1975," 1,383 "
Dec 1975," 1,306 "
Jan 1976," 1,258 "
Feb 1976," 1,311 "
Mar 1976," 1,347 "
Apr 1976," 1,332 "
May 1976," 1,440 "
Jun 1976," 1,390 "
Jul 1976," 1,322 "
Aug 1976," 1,374 "
Sep 1976," 1,371 "
Oct 1976," 1,388 "
Nov 1976," 1,428 "
Dec 1976," 1,457 "
Jan 1977," 1,457 "
Feb 1977," 1,655 "
Mar 1977," 1,619 "
Apr 1977," 1,548 "
May 1977," 1,555 "
Jun 1977," 1,636 "
Jul 1977," 1,687 "
Aug 1977," 1,673 "
Sep 1977," 1,865 "
Oct 1977," 1,675 "
Nov 1977," 1,770 "
Dec 1977," 1,634 "
Jan 1978," 1,777 "
Feb 1978," 1,719 "
Mar 1978," 1,785 "
Apr 1978," 1,843 "
May 1978," 1,850 "
Jun 1978," 1,905 "
Jul 1978," 1,957 "
Aug 1978," 1,976 "
Sep 1978," 1,944 "
Oct 1978," 1,885 "
Nov 1978," 1,877 "
Dec 1978," 1,844 "
Jan 1979," 1,850 "
Feb 1979," 1,845 "
Mar 1979," 1,946 "
Apr 1979," 1,866 "
May 1979," 2,007 "
Jun 1979," 1,853 "
Jul 1979," 1,759 "
Aug 1979," 1,779 "
Sep 1979," 1,983 "
Oct 1979," 1,832 "
Nov 1979," 1,892 "
Dec 1979," 1,863 "
Jan 1980," 1,794 "
Feb 1980," 1,803 "
Mar 1980," 1,701 "
Apr 1980," 1,751 "
May 1980," 1,532 "
Jun 1980," 1,480 "
Jul 1980," 1,472 "
Aug 1980," 1,440 "
Sep 1980," 1,267 "
Oct 1980," 1,272 "
Nov 1980," 1,313 "
Dec 1980," 1,378 "
Jan 1981," 1,270 "
Feb 1981," 1,395 "
Mar 1981," 1,377 "
Apr 1981," 1,469 "
May 1981," 1,246 "
